mapping_address,address,latitude,longitude,region_code,state,country
Sydney Darling Point,"Darling Point NSW 2027, Australia",-33.8744191,151.2361502,0,NSW,Australia
Hobart Claremont,"Hobart TAS 7000, Australia",-42.8826055,147.3257196,0,TAS,Australia
Northern QLD Garbutt,"Garbutt QLD 4814, Australia",-19.2688521,146.767324,0,QLD,Australia
Northland Ruakaka,"Ruakākā, New Zealand",-35.8753788,174.4549745,1,,New Zealand
Blue Mountains & Central West Wallerawang,"31 Lime St, Portland NSW 2847, Australia",-33.3588193,149.9758313,0,NSW,Australia
Auckland Manurewa,"Manurewa, Auckland, New Zealand",-37.0253471,174.8934791,1,,New Zealand
Melbourne Cranbourne West,"Cranbourne West VIC 3977, Australia",-38.1022116,145.2538591,0,VIC,Australia
Perth Clarkson,"Clarkson WA 6030, Australia",-31.6897363,115.7193865,0,,Australia
South West Coast VIC Newtown,"Victoria, Australia",-36.9847807,143.3906074,0,,Australia
Melbourne Heatherton,"Heatherton VIC 3202, Australia",-37.9539982,145.0835119,0,VIC,Australia
Southern Highlands & Tablelands Jerrabomberra,"Jerrabomberra NSW 2619, Australia",-35.3829753,149.2107365,0,NSW,Australia
"Newcastle, Maitland & Hunter New Lambton","Hunter St & Maitland Rd, Islington NSW 2296, Australia",-32.9195918,151.7513186,0,NSW,Australia
Sydney Redfern,"Redfern NSW 2016, Australia",-33.892963,151.2053979,0,NSW,Australia
Southern Highlands & Tablelands Bowral,"Bowral NSW 2576, Australia",-34.4802367,150.4176228,0,NSW,Australia
Sydney Balmain,"Balmain NSW 2041, Australia",-33.8587742,151.1775556,0,NSW,Australia
Melbourne Beaumaris,"Beaumaris VIC 3193, Australia",-37.9825379,145.0418067,0,VIC,Australia
"Newcastle, Maitland & Hunter Merewether","Hunter St & Maitland Rd, Islington NSW 2296, Australia",-32.9195918,151.7513186,0,NSW,Australia
Perth Kwinana Beach,"Kwinana Beach WA 6167, Australia",-32.2320792,115.7787256,0,,Australia
Auckland Long Bay,"Long Bay, Auckland, New Zealand",-36.6845137,174.7407139,1,,New Zealand
Melbourne Wollert,"Wollert VIC 3750, Australia",-37.6085118,145.0313459,0,VIC,Australia
Bunbury & South West Benger,"Bunbury WA 6230, Australia",-33.3270001,115.6408421,0,,Australia
Cairns & Far North Chillagoe,"Chillagoe QLD 4871, Australia",-17.1527273,144.5211768,0,QLD,Australia
Northland Port Whangarei,"Port Whangārei, Whangārei 0110, New Zealand",-35.7387978,174.3349242,1,,New Zealand
Mandurah & Peel Wagerup,"Wagerup WA 6215, Australia",-32.9266817,115.9020851,0,,Australia
Auckland Clendon Park,"Clendon Park, Auckland 2103, New Zealand",-37.028895,174.8583254,1,,New Zealand
Waikato Dinsdale,"Dinsdale, Hamilton, New Zealand",-37.7933636,175.2398691,1,,New Zealand
Melbourne Auburn,"Melbourne VIC, Australia",-37.8136276,144.9630576,0,VIC,Australia
Melbourne Macleod,"Macleod VIC 3085, Australia",-37.7248363,145.0672046,0,VIC,Australia
Coffs Harbour & North Coast Sawtell,"Sawtell NSW 2452, Australia",-30.3679471,153.0995008,0,NSW,Australia
Shepparton & Goulburn Valley Avenel,"Shepparton VIC 3630, Australia",-36.3811027,145.3993137,0,VIC,Australia
Tasman Nelson Central,"Tasman, New Zealand",-41.1909769,173.0522165,1,,New Zealand
Gosford & Central Coast Blue Haven,"Gosford NSW 2250, Australia",-33.426667,151.341667,0,NSW,Australia
Gosford & Central Coast Bateau Bay,"Gosford NSW 2250, Australia",-33.426667,151.341667,0,NSW,Australia
Melbourne St Kilda West,"St Kilda West VIC 3182, Australia",-37.8582498,144.9698325,0,VIC,Australia
Sydney Leichhardt,"Leichhardt NSW 2040, Australia",-33.8837222,151.157028,0,NSW,Australia
"Tumut, Snowy & Monaro Jindabyne","Jindabyne NSW 2627, Australia",-36.4172451,148.6248294,0,NSW,Australia
Melbourne Fitzroy,"Fitzroy VIC 3065, Australia",-37.7983606,144.9784894,0,VIC,Australia
Whyalla & Eyre Peninsula Cummins,"Eyre Peninsula, Cummins SA 5631, Australia",-34.3333333,135.75,0,SA,Australia
Melbourne Rowville,"Rowville VIC 3178, Australia",-37.9279826,145.2330751,0,VIC,Australia
Sydney Quakers Hill,"Quakers Hill NSW 2763, Australia",-33.7266312,150.8849215,0,NSW,Australia
Brisbane Albany Creek,"Albany Creek QLD 4035, Australia",-27.3455088,152.9684103,0,QLD,Australia
Sydney South Granville,"South Granville NSW 2142, Australia",-33.8577224,151.0107506,0,NSW,Australia
Brisbane North Stradbroke Island,"North Stradbroke Island QLD 4183, Australia",-27.4681326,153.4263095,0,QLD,Australia
Brisbane Southern Suburbs & Logan,"Brisbane QLD, Australia",-27.4704528,153.0260341,0,QLD,Australia
"Port Hedland, Karratha & Pilbara Finucane","Port Hedland WA 6721, Australia",-20.311052,118.6094431,0,,Australia
Melbourne Brighton East,"Brighton East VIC 3187, Australia",-37.9156746,145.0159759,0,VIC,Australia
Melbourne Armadale,"Armadale VIC 3143, Australia",-37.8554995,145.0206967,0,VIC,Australia
Melbourne Eumemmerring,"Eumemmerring VIC 3177, Australia",-37.9963814,145.2504506,0,VIC,Australia
